track,chain_idx,step,token_count,correct,tags
implicit_no_reasoning_no_correction,67,1,216,1,removed_rules;added_facts
implicit_no_reasoning_no_correction,67,2,458,1,added_facts
implicit_no_reasoning_no_correction,67,3,716,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,67,4,966,1,added_facts
implicit_no_reasoning_no_correction,67,5,1235,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,67,6,1549,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,67,7,1893,1,added_rules;added_facts
implicit_no_reasoning_no_correction,168,1,292,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,168,2,600,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,168,3,970,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,168,4,1271,1,added_rules
implicit_no_reasoning_no_correction,168,5,1669,1,added_rules
implicit_no_reasoning_no_correction,168,6,2169,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,168,7,2573,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,5,1,304,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,5,2,611,1,added_facts
implicit_no_reasoning_no_correction,5,3,940,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,5,4,1251,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,5,5,1585,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,5,6,1999,1,added_facts
implicit_no_reasoning_no_correction,5,7,2215,1,removed_facts;added_rules;added_facts
implicit_no_reasoning_no_correction,1,1,224,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,1,2,618,1,removed_rules;added_rules;added_facts
implicit_no_reasoning_no_correction,1,3,918,1,added_rules;added_facts
implicit_no_reasoning_no_correction,1,4,1264,1,added_rules
implicit_no_reasoning_no_correction,1,5,1656,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,1,6,2045,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,1,7,2408,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,206,1,239,1,added_facts
implicit_no_reasoning_no_correction,206,2,604,1,added_rules
implicit_no_reasoning_no_correction,206,3,992,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,206,4,1337,1,added_rules;added_facts
implicit_no_reasoning_no_correction,206,5,1712,1,added_rules;added_facts
implicit_no_reasoning_no_correction,206,6,2160,1,added_rules;added_facts
implicit_no_reasoning_no_correction,206,7,2642,1,removed_facts;removed_rules;added_rules
implicit_no_reasoning_no_correction,22,1,296,1,added_rules;added_facts
implicit_no_reasoning_no_correction,22,2,779,1,removed_facts;added_facts
implicit_no_reasoning_no_correction,22,3,1152,1,removed_rules;added_rules
implicit_no_reasoning_no_correction,22,4,1574,1,added_rules;added_facts
implicit_no_reasoning_no_correction,22,5,2027,1,removed_facts;removed_rules;added_facts
implicit_no_reasoning_no_correction,22,6,2444,1,added_facts
implicit_no_reasoning_no_correction,22,7,2880,1,added_rules;added_facts
implicit_no_reasoning_no_correction,123,1,250,1,removed_facts;added_rules
implicit_no_reasoning_no_correction,123,2,527,1,added_rules;added_facts
implicit_no_reasoning_no_correction,123,3,860,1,added_rules
