filename,quarantined,n_problems,problems
ex_1003.json,False,0,
ex_1006.json,True,2,edit_1=INCONSISTENT;edit_3=INCONSISTENT
ex_101.json,True,1,edit_7=INCONSISTENT
ex_1010.json,True,1,edit_5=INCONSISTENT
ex_1011.json,False,0,
ex_1014.json,False,0,
ex_1016.json,False,1,edit_6=label_mismatch:Uncertain
ex_1026.json,False,0,
ex_1029.json,False,0,
ex_1032.json,False,0,
ex_1038.json,False,0,
ex_1048.json,False,0,
ex_1056.json,True,1,edit_7=INCONSISTENT
ex_1058.json,False,0,
ex_106.json,False,0,
ex_1071.json,False,0,
ex_1073.json,False,0,
ex_1078.json,False,0,
ex_1079.json,True,1,edit_5=INCONSISTENT
ex_108.json,False,0,
ex_1081.json,True,1,edit_6=INCONSISTENT
ex_1090.json,False,0,
ex_1095.json,False,0,
ex_1101.json,False,0,
ex_1103.json,False,0,
ex_1112.json,False,0,
ex_1121.json,False,0,
ex_1122.json,False,0,
ex_1123.json,True,4,edit_1=INCONSISTENT;edit_2=INCONSISTENT;edit_3=INCONSISTENT;edit_5=INCONSISTENT
ex_1125.json,False,0,
ex_1127.json,False,0,
ex_1131.json,True,2,edit_2=INCONSISTENT;edit_3=INCONSISTENT
ex_1133.json,False,0,
ex_1137.json,False,0,
ex_1141.json,False,0,
ex_1143.json,False,0,
ex_1147.json,True,1,edit_7=INCONSISTENT
ex_1153.json,False,0,
ex_1155.json,False,0,
ex_1158.json,False,0,
ex_1164.json,False,0,
ex_1169.json,False,0,
ex_117.json,False,0,
ex_1185.json,True,2,edit_3=INCONSISTENT;edit_4=INCONSISTENT
ex_1187.json,False,0,
ex_1189.json,False,0,
ex_1191.json,False,0,
ex_1196.json,False,0,
ex_12.json,False,0,
ex_1203.json,False,0,
ex_1208.json,False,0,
ex_1212.json,False,0,
ex_1217.json,False,0,
ex_1219.json,False,0,
ex_122.json,False,0,
ex_1229.json,False,0,
ex_123.json,True,1,edit_6=INCONSISTENT
ex_1234.json,False,1,edit_5=label_mismatch:True
ex_1235.json,False,0,
ex_124.json,False,0,
ex_1240.json,False,0,
ex_1247.json,False,0,
ex_1248.json,False,0,
ex_1249.json,True,2,edit_6=INCONSISTENT;edit_7=INCONSISTENT
ex_1258.json,False,0,
ex_1259.json,False,0,
ex_1261.json,False,0,
ex_1264.json,False,0,
ex_128.json,False,0,
ex_1288.json,False,0,
ex_1296.json,False,0,
ex_1297.json,False,0,
ex_1300.json,False,0,
ex_1302.json,False,0,
ex_1305.json,False,0,
ex_132.json,False,0,
ex_1333.json,True,1,edit_7=INCONSISTENT
ex_1336.json,True,1,edit_7=INCONSISTENT
ex_1337.json,True,1,edit_5=INCONSISTENT
ex_1341.json,False,0,
ex_1343.json,False,0,
ex_1345.json,True,1,edit_7=INCONSISTENT
ex_1351.json,False,0,
ex_1353.json,True,1,edit_7=INCONSISTENT
ex_1359.json,False,0,
ex_1361.json,False,0,
ex_1363.json,False,0,
ex_1366.json,False,0,
ex_1373.json,True,1,edit_6=INCONSISTENT
ex_1375.json,False,0,
ex_1378.json,False,0,
ex_1384.json,False,0,
ex_1387.json,False,0,
ex_1390.json,False,0,
ex_1400.json,False,0,
ex_1402.json,False,0,
ex_1405.json,False,0,
ex_1407.json,False,0,
ex_1409.json,True,1,edit_7=INCONSISTENT
ex_1410.json,False,0,
ex_1414.json,False,0,
ex_1420.json,False,0,
ex_1422.json,False,0,
ex_1427.json,True,1,edit_6=INCONSISTENT
ex_1430.json,False,0,
ex_1434.json,False,0,
ex_1437.json,False,0,
ex_1438.json,False,0,
ex_1439.json,False,0,
ex_1440.json,False,0,
ex_1447.json,True,1,edit_4=INCONSISTENT
ex_1452.json,True,2,edit_3=INCONSISTENT;edit_4=INCONSISTENT
ex_1455.json,True,1,edit_6=INCONSISTENT
ex_1456.json,False,0,
ex_1457.json,False,0,
ex_1458.json,False,0,
ex_1459.json,True,1,edit_7=INCONSISTENT
ex_1463.json,True,1,edit_4=INCONSISTENT
ex_1464.json,False,0,
ex_147.json,False,0,
ex_1471.json,True,3,edit_1=INCONSISTENT;edit_3=INCONSISTENT;edit_5=INCONSISTENT
ex_1476.json,False,0,
ex_1477.json,True,1,edit_2=INCONSISTENT
ex_1480.json,True,1,edit_7=INCONSISTENT
ex_1483.json,False,1,edit_7=label_mismatch:UNRESOLVED
ex_1487.json,True,1,edit_2=INCONSISTENT
ex_1492.json,False,0,
ex_1497.json,False,0,
ex_1499.json,False,0,
ex_150.json,False,0,
ex_1500.json,True,1,edit_6=INCONSISTENT
ex_1502.json,False,0,
ex_1506.json,False,0,
ex_1507.json,True,1,edit_7=INCONSISTENT
ex_1509.json,False,0,
ex_151.json,False,0,
ex_1511.json,False,0,
ex_1512.json,False,0,
ex_1513.json,False,0,
ex_1516.json,True,1,edit_7=INCONSISTENT
ex_1517.json,True,1,edit_2=INCONSISTENT
ex_1520.json,False,1,edit_1=label_mismatch:Uncertain
ex_1523.json,False,0,
ex_1525.json,False,0,
ex_153.json,False,0,
ex_1533.json,False,0,
ex_1535.json,False,0,
ex_1539.json,False,0,
ex_1542.json,False,0,
ex_1543.json,False,0,
ex_1546.json,False,0,
ex_1564.json,False,0,
ex_1566.json,False,0,
ex_1568.json,False,0,
ex_1574.json,False,0,
ex_1577.json,True,7,edit_1=INCONSISTENT;edit_2=INCONSISTENT;edit_3=INCONSISTENT;edit_4=INCONSISTENT;edit_5=INCONSISTENT;edit_6=INCONSISTENT;edit_7=INCONSISTENT
ex_1579.json,False,0,
ex_1584.json,False,0,
ex_1606.json,False,0,
ex_1609.json,True,1,edit_3=INCONSISTENT
ex_1611.json,False,0,
ex_1613.json,False,0,
ex_1615.json,True,1,edit_7=INCONSISTENT
ex_1616.json,True,1,edit_3=INCONSISTENT
ex_162.json,False,0,
ex_1621.json,False,0,
ex_1623.json,False,0,
ex_1624.json,False,0,
ex_163.json,False,0,
ex_1633.json,False,0,
ex_1635.json,False,1,edit_4=label_mismatch:Uncertain
ex_1636.json,False,0,
ex_1646.json,False,0,
ex_166.json,False,0,
ex_1665.json,False,0,
ex_1666.json,False,0,
ex_167.json,False,0,
ex_1679.json,False,0,
ex_1691.json,False,0,
ex_1695.json,False,0,
ex_1697.json,False,0,
ex_17.json,False,0,
ex_1700.json,False,0,
ex_1705.json,False,0,
ex_1709.json,False,0,
ex_1712.json,False,0,
ex_1713.json,True,2,edit_1=INCONSISTENT;edit_2=INCONSISTENT
ex_1724.json,False,0,
ex_1725.json,True,5,edit_3=INCONSISTENT;edit_4=INCONSISTENT;edit_5=INCONSISTENT;edit_6=INCONSISTENT;edit_7=INCONSISTENT
ex_1726.json,False,0,
ex_1732.json,False,0,
ex_1739.json,True,1,edit_7=INCONSISTENT
ex_1743.json,False,0,
ex_1744.json,False,0,
ex_175.json,False,0,
ex_1750.json,False,0,
ex_1754.json,False,6,edit_2=label_mismatch:True;edit_3=label_mismatch:True;edit_4=label_mismatch:True;edit_5=label_mismatch:True;edit_6=label_mismatch:True;edit_7=label_mismatch:True
ex_1756.json,False,0,
ex_176.json,True,1,edit_2=INCONSISTENT
ex_1764.json,False,0,
ex_177.json,False,0,
ex_1774.json,False,0,
ex_1775.json,False,0,
ex_1778.json,True,3,edit_1=INCONSISTENT;edit_2=INCONSISTENT;edit_3=INCONSISTENT
ex_1783.json,False,0,
ex_1786.json,False,0,
ex_1792.json,True,1,edit_4=INCONSISTENT
ex_1796.json,False,0,
ex_1797.json,False,0,
ex_180.json,False,0,
ex_1800.json,False,0,
ex_1804.json,False,0,
ex_1809.json,False,0,
ex_1811.json,False,0,
ex_1814.json,False,0,
ex_1817.json,False,0,
ex_1818.json,False,0,
ex_182.json,False,0,
ex_1820.json,False,0,
ex_1825.json,False,0,
ex_1829.json,False,0,
ex_183.json,False,0,
ex_1837.json,False,0,
ex_1844.json,False,0,
ex_1847.json,False,0,
ex_1851.json,False,0,
ex_1864.json,False,0,
ex_1873.json,True,3,edit_2=label_mismatch:True;edit_6=INCONSISTENT;edit_7=INCONSISTENT
ex_1874.json,False,0,
ex_1876.json,False,0,
ex_1880.json,False,0,
ex_1882.json,False,1,edit_2=label_mismatch:True
ex_1890.json,False,0,
ex_1894.json,False,0,
ex_1895.json,False,2,edit_6=label_mismatch:UNRESOLVED;edit_7=label_mismatch:UNRESOLVED
ex_1897.json,False,0,
ex_1898.json,True,1,edit_2=INCONSISTENT
ex_1901.json,False,0,
ex_1905.json,False,0,
ex_1911.json,True,1,edit_3=INCONSISTENT
ex_1919.json,False,0,
ex_192.json,False,0,
ex_1922.json,False,0,
ex_1924.json,False,0,
ex_1934.json,False,0,
ex_1940.json,False,0,
ex_1944.json,False,0,
ex_1946.json,False,0,
ex_1947.json,False,0,
ex_1953.json,True,1,edit_6=INCONSISTENT
ex_1958.json,False,0,
ex_1960.json,False,0,
ex_1968.json,False,0,
ex_1971.json,False,0,
ex_1973.json,False,0,
ex_1976.json,False,0,
ex_1978.json,False,0,
ex_198.json,False,0,
ex_1981.json,False,0,
ex_1986.json,False,0,
ex_1988.json,False,0,
ex_1990.json,False,0,
ex_1991.json,False,0,
ex_20.json,False,2,edit_6=label_mismatch:UNRESOLVED;edit_7=label_mismatch:UNRESOLVED
ex_2003.json,True,2,edit_5=INCONSISTENT;edit_6=INCONSISTENT
ex_2006.json,False,0,
ex_2007.json,False,1,edit_5=label_mismatch:Uncertain
ex_2009.json,False,0,
ex_2019.json,False,0,
ex_2020.json,False,0,
ex_2021.json,False,0,
ex_2029.json,False,0,
ex_2031.json,True,3,edit_3=INCONSISTENT;edit_4=INCONSISTENT;edit_5=label_mismatch:Uncertain
ex_2035.json,False,0,
ex_2041.json,False,0,
ex_2047.json,False,0,
ex_205.json,False,0,
ex_2052.json,False,0,
ex_2058.json,False,0,
ex_2060.json,False,0,
ex_2070.json,True,1,edit_2=INCONSISTENT
ex_2074.json,False,0,
ex_2075.json,False,0,
ex_2076.json,False,0,
ex_208.json,False,0,
ex_2080.json,False,0,
ex_2082.json,True,1,edit_5=INCONSISTENT
ex_2084.json,False,0,
ex_209.json,False,0,
ex_2095.json,True,2,edit_6=INCONSISTENT;edit_7=INCONSISTENT
ex_2097.json,False,0,
ex_2101.json,False,0,
ex_212.json,False,0,
ex_2121.json,False,0,
ex_2122.json,False,0,
ex_2124.json,False,0,
ex_2131.json,True,1,edit_1=INCONSISTENT
ex_2134.json,False,0,
ex_2137.json,False,0,
ex_2140.json,False,0,
ex_2141.json,False,0,
ex_2143.json,False,0,
ex_2146.json,False,0,
ex_2147.json,False,0,
ex_2148.json,False,0,
ex_2149.json,False,0,
ex_2150.json,False,0,
ex_2156.json,True,1,edit_3=INCONSISTENT
ex_2157.json,True,1,edit_1=INCONSISTENT
ex_2165.json,False,0,
ex_2166.json,False,0,
ex_2174.json,False,0,
ex_2178.json,False,0,
ex_2179.json,False,0,
ex_2186.json,False,0,
ex_2191.json,False,0,
ex_2196.json,False,0,
ex_2197.json,True,1,edit_5=INCONSISTENT
ex_2203.json,False,0,
ex_2213.json,False,0,
