filename,total_entries,google/gemini-2.5-flash-preview,anthropic/claude-3-haiku,openai/gpt-4o-mini,majority
prev_ex_328.json,0,1,1,1,True
ex_233.json,0,1,1,1,True
ex_663.json,0,1,1,1,True
ex_1060.json,0,1,1,1,True
prev_ex_282.json,0,1,1,1,True
ex_399.json,0,1,1,1,True
ex_1430.json,0,1,1,1,True
ex_1963.json,0,1,1,1,True
ex_1125.json,0,1,1,1,True
ex_1575.json,0,1,1,1,True
ex_2709.json,0,1,1,1,True
ex_376.json,0,1,1,1,True
ex_726.json,0,1,1,1,True
ex_3661.json,0,1,1,1,True
prev_ex_144.json,0,1,1,1,True
ex_2070.json,0,1,1,1,True
ex_2420.json,0,1,1,1,True
prev_ex_451.json,0,1,1,1,True
ex_2565.json,0,1,1,1,True
ex_1467.json,0,1,1,1,True
ex_3724.json,0,1,1,1,True
ex_2836.json,0,1,1,1,True
ex_1719.json,0,1,1,1,True
ex_1349.json,0,1,1,1,True
ex_1934.json,0,1,1,1,True
ex_1522.json,0,1,1,1,True
prev_ex_390.json,0,1,1,1,True
ex_771.json,0,1,1,1,True
prev_ex_113.json,0,1,1,1,True
ex_2477.json,0,1,1,1,True
ex_3773.json,0,1,1,1,True
prev_ex_406.json,0,1,1,1,True
ex_2498.json,0,1,1,1,True
ex_272.json,0,1,1,1,True
ex_2162.json,0,1,1,1,True
ex_1922.json,0,1,1,1,True
ex_622.json,0,1,1,1,True
ex_1888.json,0,1,1,1,True
ex_1164.json,0,1,1,1,True
ex_1471.json,0,1,1,1,True
ex_3509.json,0,1,1,1,True
ex_2748.json,0,1,1,1,True
ex_2031.json,0,1,1,1,True
prev_ex_105.json,0,1,1,1,True
ex_2318.json,0,1,1,1,True
ex_2174.json,0,1,1,1,True
ex_2461.json,0,1,1,1,True
ex_1758.json,0,1,1,1,True
ex_2524.json,0,1,1,1,True
prev_ex_410.json,0,1,1,1,True
ex_52.json,0,1,1,1,True
ex_858.json,0,1,1,1,True
prev_ex_294.json,0,1,1,1,True
prev_ex_10.json,0,1,1,1,True
ex_675.json,0,1,1,1,True
ex_1133.json,0,1,1,1,True
ex_1099.json,0,1,1,1,True
prev_ex_152.json,0,1,1,1,True
prev_ex_447.json,0,1,1,1,True
ex_2820.json,0,1,1,1,True
ex_3876.json,0,1,1,1,True
ex_2573.json,0,1,1,1,True
prev_ex_84.json,0,1,1,1,True
ex_2334.json,0,1,1,1,True
ex_3525.json,0,1,1,1,True
prev_ex_200.json,0,1,1,1,True
ex_2621.json,0,1,1,1,True
ex_1774.json,0,1,1,1,True
ex_1148.json,0,1,1,1,True
ex_527.json,0,1,1,1,True
ex_177.json,0,1,1,1,True
ex_198.json,0,1,1,1,True
ex_1261.json,0,1,1,1,True
prev_ex_129.json,0,1,1,1,True
ex_1631.json,0,1,1,1,True
ex_3572.json,0,1,1,1,True
ex_3964.json,0,1,1,1,True
ex_2676.json,0,1,1,1,True
ex_209.json,0,1,1,1,True
ex_2226.json,0,1,1,1,True
ex_659.json,0,1,1,1,True
prev_ex_9.json,0,1,1,1,True
ex_823.json,0,1,1,1,True
ex_1373.json,0,1,1,1,True
prev_ex_484.json,0,1,1,1,True
ex_435.json,0,1,1,1,True
ex_1666.json,0,1,1,1,True
ex_1689.json,0,1,1,1,True
ex_3837.json,0,1,1,1,True
ex_2375.json,0,1,1,1,True
ex_3564.json,0,1,1,1,True
prev_ex_241.json,0,1,1,1,True
ex_1109.json,0,1,1,1,True
prev_ex_187.json,0,1,1,1,True
ex_2549.json,0,1,1,1,True
ex_136.json,0,1,1,1,True
prev_ex_304.json,0,1,1,1,True
ex_589.json,0,1,1,1,True
ex_2119.json,0,1,1,1,True
prev_ex_168.json,0,1,1,1,True
prev_ex_216.json,0,1,1,1,True
ex_970.json,0,1,1,1,True
ex_3860.json,0,1,1,1,True
ex_2288.json,0,1,1,1,True
ex_2772.json,0,1,1,1,True
ex_618.json,0,1,1,1,True
ex_2637.json,0,1,1,1,True
ex_2267.json,0,1,1,1,True
prev_ex_353.json,0,1,1,1,True
ex_531.json,0,1,1,1,True
ex_927.json,0,1,1,1,True
prev_ex_148.json,0,1,1,1,True
ex_474.json,0,1,1,1,True
ex_862.json,0,1,1,1,True
ex_950.json,0,1,1,1,True
ex_1345.json,0,1,1,1,True
ex_815.json,0,1,1,1,True
prev_ex_324.json,0,1,1,1,True
ex_3682.json,0,1,1,1,True
ex_2093.json,0,1,1,1,True
ex_116.json,0,1,1,1,True
ex_48.json,0,1,1,1,True
ex_395.json,0,1,1,1,True
ex_2640.json,0,1,1,1,True
ex_1579.json,0,1,1,1,True
ex_3952.json,0,1,1,1,True
ex_1129.json,0,1,1,1,True
ex_2705.json,0,1,1,1,True
ex_1607.json,0,1,1,1,True
ex_1257.json,0,1,1,1,True
ex_3790.json,0,1,1,1,True
ex_907.json,0,1,1,1,True
ex_2181.json,0,1,1,1,True
ex_454.json,0,1,1,1,True
ex_141.json,0,1,1,1,True
ex_2494.json,0,1,1,1,True
ex_1312.json,0,1,1,1,True
ex_511.json,0,1,1,1,True
ex_2617.json,0,1,1,1,True
ex_1938.json,0,1,1,1,True
ex_2247.json,0,1,1,1,True
ex_3840.json,0,1,1,1,True
ex_792.json,0,1,1,1,True
ex_2752.json,0,1,1,1,True
ex_1191.json,0,1,1,1,True
prev_ex_236.json,0,1,1,1,True
ex_2197.json,0,1,1,1,True
ex_287.json,0,1,1,1,True
ex_442.json,0,1,1,1,True
ex_2178.json,0,1,1,1,True
ex_1611.json,0,1,1,1,True
ex_1754.json,0,1,1,1,True
ex_157.json,0,1,1,1,True
prev_ex_365.json,0,1,1,1,True
ex_1187.json,0,1,1,1,True
ex_2601.json,0,1,1,1,True
ex_291.json,0,1,1,1,True
ex_2744.json,0,1,1,1,True
ex_1168.json,0,1,1,1,True
ex_1492.json,0,1,1,1,True
ex_2314.json,0,1,1,1,True
ex_1646.json,0,1,1,1,True
ex_415.json,0,1,1,1,True
ex_946.json,0,1,1,1,True
ex_550.json,0,1,1,1,True
ex_100.json,0,1,1,1,True
ex_2085.json,0,1,1,1,True
ex_1353.json,0,1,1,1,True
ex_1979.json,0,1,1,1,True
ex_679.json,0,1,1,1,True
ex_3944.json,0,1,1,1,True
ex_383.json,0,1,1,1,True
ex_1580.json,0,1,1,1,True
ex_3552.json,0,1,1,1,True
ex_1996.json,0,1,1,1,True
ex_1095.json,0,1,1,1,True
ex_2154.json,0,1,1,1,True
ex_2343.json,0,1,1,1,True
ex_3801.json,0,1,1,1,True
ex_481.json,0,1,1,1,True
ex_3745.json,0,1,1,1,True
ex_1778.json,0,1,1,1,True
ex_1282.json,0,1,1,1,True
ex_1328.json,0,1,1,1,True
prev_ex_125.json,0,1,1,1,True
ex_3600.json,0,1,1,1,True
ex_1797.json,0,1,1,1,True
prev_ex_88.json,0,1,1,1,True
ex_1514.json,0,1,1,1,True
ex_2292.json,0,1,1,1,True
ex_317.json,0,1,1,1,True
ex_1847.json,0,1,1,1,True
ex_2768.json,0,1,1,1,True
ex_2338.json,0,1,1,1,True
ex_252.json,0,1,1,1,True
ex_3895.json,0,1,1,1,True
prev_ex_349.json,0,1,1,1,True
ex_985.json,0,1,1,1,True
prev_ex_67.json,0,1,1,1,True
ex_25.json,0,1,1,1,True
ex_3712.json,0,1,1,1,True
prev_ex_467.json,0,1,1,1,True
prev_ex_5.json,0,1,1,1,True
ex_593.json,0,1,1,1,True
ex_2416.json,0,1,1,1,True
ex_439.json,0,1,1,1,True
prev_ex_172.json,0,1,1,1,True
prev_ex_488.json,0,1,1,1,True
ex_1390.json,0,1,1,1,True
ex_710.json,0,1,1,1,True
ex_3987.json,0,1,1,1,True
ex_2695.json,0,1,1,1,True
ex_1113.json,0,1,1,1,True
ex_1543.json,0,1,1,1,True
ex_1056.json,0,1,1,1,True
ex_2816.json,0,1,1,1,True
ex_655.json,0,1,1,1,True
ex_3968.json,0,1,1,1,True
ex_205.json,0,1,1,1,True
ex_1739.json,0,1,1,1,True
ex_3704.json,0,1,1,1,True
ex_1386.json,0,1,1,1,True
ex_993.json,0,1,1,1,True
ex_3568.json,0,1,1,1,True
ex_2729.json,0,1,1,1,True
ex_3641.json,0,1,1,1,True
ex_1806.json,0,1,1,1,True
ex_3991.json,0,1,1,1,True
ex_2683.json,0,1,1,1,True
ex_1040.json,0,1,1,1,True
ex_64.json,0,1,1,1,True
prev_ex_308.json,0,1,1,1,True
ex_1294.json,0,1,1,1,True
ex_1410.json,0,1,1,1,True
ex_2841.json,0,1,1,1,True
ex_2512.json,0,1,1,1,True
ex_2142.json,0,1,1,1,True
ex_2457.json,0,1,1,1,True
ex_478.json,0,1,1,1,True
ex_2007.json,0,1,1,1,True
ex_182.json,0,1,1,1,True
prev_ex_133.json,0,1,1,1,True
ex_751.json,0,1,1,1,True
ex_3616.json,0,1,1,1,True
ex_1851.json,0,1,1,1,True
ex_1447.json,0,1,1,1,True
ex_1152.json,0,1,1,1,True
ex_1502.json,0,1,1,1,True
ex_1017.json,0,1,1,1,True
ex_33.json,0,1,1,1,True
ex_614.json,0,1,1,1,True
ex_2791.json,0,1,1,1,True
ex_3929.json,0,1,1,1,True
ex_244.json,0,1,1,1,True
ex_750.json,0,1,1,1,True
ex_1503.json,0,1,1,1,True
ex_1016.json,0,1,1,1,True
ex_1153.json,0,1,1,1,True
ex_2790.json,0,1,1,1,True
prev_ex_70.json,0,1,1,1,True
ex_615.json,0,1,1,1,True
ex_245.json,0,1,1,1,True
ex_3928.json,0,1,1,1,True
ex_1295.json,0,1,1,1,True
ex_3752.json,0,1,1,1,True
prev_ex_427.json,0,1,1,1,True
ex_496.json,0,1,1,1,True
ex_2513.json,0,1,1,1,True
ex_2143.json,0,1,1,1,True
ex_2456.json,0,1,1,1,True
ex_479.json,0,1,1,1,True
ex_2006.json,0,1,1,1,True
ex_183.json,0,1,1,1,True
ex_1554.json,0,1,1,1,True
prev_ex_132.json,0,1,1,1,True
ex_1807.json,0,1,1,1,True
ex_2682.json,0,1,1,1,True
ex_707.json,0,1,1,1,True
ex_212.json,0,1,1,1,True
ex_2397.json,0,1,1,1,True
ex_2378.json,0,1,1,1,True
prev_ex_309.json,0,1,1,1,True
ex_642.json,0,1,1,1,True
prev_ex_27.json,0,1,1,1,True
ex_3586.json,0,1,1,1,True
ex_65.json,0,1,1,1,True
ex_2114.json,0,1,1,1,True
ex_1411.json,0,1,1,1,True
ex_3705.json,0,1,1,1,True
ex_2544.json,0,1,1,1,True
ex_992.json,0,1,1,1,True
ex_1387.json,0,1,1,1,True
prev_ex_165.json,0,1,1,1,True
ex_2401.json,0,1,1,1,True
ex_1811.json,0,1,1,1,True
ex_2694.json,0,1,1,1,True
ex_341.json,0,1,1,1,True
ex_1542.json,0,1,1,1,True
ex_1407.json,0,1,1,1,True
ex_73.json,0,1,1,1,True
ex_1112.json,0,1,1,1,True
ex_3590.json,0,1,1,1,True
prev_ex_31.json,0,1,1,1,True
ex_1057.json,0,1,1,1,True
ex_984.json,0,1,1,1,True
ex_2417.json,0,1,1,1,True
ex_1684.json,0,1,1,1,True
prev_ex_466.json,0,1,1,1,True
ex_2047.json,0,1,1,1,True
prev_ex_489.json,0,1,1,1,True
ex_1145.json,0,1,1,1,True
ex_3528.json,0,1,1,1,True
ex_1515.json,0,1,1,1,True
ex_746.json,0,1,1,1,True
ex_253.json,0,1,1,1,True
ex_1903.json,0,1,1,1,True
ex_2769.json,0,1,1,1,True
ex_603.json,0,1,1,1,True
ex_2786.json,0,1,1,1,True
ex_2505.json,0,1,1,1,True
ex_1450.json,0,1,1,1,True
ex_1796.json,0,1,1,1,True
prev_ex_66.json,0,1,1,1,True
prev_ex_431.json,0,1,1,1,True
ex_1329.json,0,1,1,1,True
ex_1779.json,0,1,1,1,True
ex_3601.json,0,1,1,1,True
ex_195.json,0,1,1,1,True
prev_ex_124.json,0,1,1,1,True
ex_3945.json,0,1,1,1,True
ex_2440.json,0,1,1,1,True
ex_678.json,0,1,1,1,True
ex_1978.json,0,1,1,1,True
ex_382.json,0,1,1,1,True
prev_ex_299.json,0,1,1,1,True
ex_1094.json,0,1,1,1,True
ex_697.json,0,1,1,1,True
ex_3800.json,0,1,1,1,True
ex_2712.json,0,1,1,1,True
ex_1217.json,0,1,1,1,True
ex_1997.json,0,1,1,1,True
ex_2591.json,0,1,1,1,True
ex_551.json,0,1,1,1,True
ex_101.json,0,1,1,1,True
ex_2084.json,0,1,1,1,True
ex_802.json,0,1,1,1,True
ex_1186.json,0,1,1,1,True
ex_2250.json,0,1,1,1,True
ex_2315.json,0,1,1,1,True
ex_290.json,0,1,1,1,True
ex_1539.json,0,1,1,1,True
ex_3857.json,0,1,1,1,True
prev_ex_221.json,0,1,1,1,True
ex_2196.json,0,1,1,1,True
ex_1169.json,0,1,1,1,True
ex_443.json,0,1,1,1,True
ex_910.json,0,1,1,1,True
ex_1240.json,0,1,1,1,True
ex_3787.json,0,1,1,1,True
ex_1305.json,0,1,1,1,True
ex_2529.json,0,1,1,1,True
ex_3768.json,0,1,1,1,True
ex_2616.json,0,1,1,1,True
ex_1755.json,0,1,1,1,True
